State,Legal Status,Medicinal,Decriminalized,Recreational,Year legalized (Rec),Medical,Year legalized (Med)
Alabama,Mixed,Yes,No,No,,Yes,2021
Alaska,Fully Legal,Yes,Yes,Yes,2014,Yes,1998
Arizona,Fully Legal,Yes,Yes,Yes,2020,Yes,2010
Arkansas,Mixed,Yes,No,No,,Yes,2016
California,Fully Legal,Yes,Yes,Yes,2016,Yes,1996
Colorado,Fully Legal,Yes,Yes,Yes,2012,Yes,2000
Connecticut,Fully Legal,Yes,Yes,Yes,2021,Yes,2012
Delaware,Mixed,Yes,Yes,No,,Yes,2011
District of Columbia,Fully Legal,Yes,Yes,Yes,2015,Yes,2011
Florida,Mixed,Yes,No,No,,Yes,2016
Georgia,Mixed,CBD Oil Only,No,No,,Yes,2015
Hawaii,Mixed,Yes,Yes,No,,Yes,2000
Idaho,Fully Illegal,No,No,No,,No,
Illinois,Fully Legal,Yes,Yes,Yes,2019,Yes,2013
Indiana,Mixed,CBD Oil Only,No,No,,No,
Iowa,Mixed,CBD Oil Only,No,No,,Yes,2017
Kansas,Fully Illegal,No,No,No,,No,
Kentucky,Mixed,CBD Oil Only,No,No,,No,
Louisiana,Mixed,Yes,Yes,No,,Yes,2015
Maine,Fully Legal,Yes,Yes,Yes,2016,Yes,1999
Maryland,Mixed,Yes,Yes,No,,Yes,2013
Massachusetts,Fully Legal,Yes,Yes,Yes,2016,Yes,2012
Michigan,Fully Legal,Yes,Yes,Yes,2018,Yes,2008
Minnesota,Mixed**,Yes,Yes,No,,Yes,2014
Mississippi,Mixed,Yes,Yes,No,,Yes,2022
Missouri,Mixed,Yes,Yes,No,,Yes,2018
Montana,Fully Legal,Yes,Yes,Yes,2020,Yes,2004
Nebraska,Fully Illegal,No,Yes,No,,No,
Nevada,Fully Legal,Yes,Yes,Yes,2016,Yes,1998
New Hampshire,Mixed,Yes,Yes,No,,Yes,2013
New Jersey,Fully Legal,Yes,Yes,Yes,2020,Yes,2010
New Mexico,Fully Legal,Yes,Yes,Yes,2021,Yes,2007
New York,Fully Legal,Yes,Yes,Yes,2021,Yes,2014
North Carolina,Fully Illegal,No,Yes,No,,No,
North Dakota,Mixed,Yes,Yes,No,,Yes,2016
Ohio,Mixed,Yes,Yes,No,,Yes,2016
Oklahoma,Mixed,Yes,No,No,,Yes,2018
Oregon,Fully Legal,Yes,Yes,Yes,2014,Yes,1998
Pennsylvania,Mixed,Yes,No,No,,Yes,2016
Rhode Island,Fully Legal,Yes,Yes,Yes,2022,Yes,2006
South Carolina,Fully Illegal,No,No,No,,No,
South Dakota,Mixed,Yes,No,No,,Yes,2020
Tennessee,Mixed,CBD Oil Only,No,No,,No,
Texas,Mixed,CBD Oil Only,No,No,,No,
Utah,Mixed,Yes,No,No,,Yes,2018
Vermont,Fully Legal,Yes,Yes,Yes,2020,Yes,2004
Virginia,Fully Legal,Yes,Yes,Yes,2021,Yes,2020
Washington,Fully Legal,Yes,Yes,Yes,2012,Yes,1998
West Virginia,Mixed,Yes,No,No,,Yes,2017
Wisconsin,Mixed,CBD Oil Only,No,No,,No,
Wyoming,Fully Illegal,No,No,No,,No,
